剤,17,81,3
剥,17,81,4
剧,11,87,3
剩,18,80,4
剪,16,82,7
副,18,80,5
剰,18,80,3
割,18,80,5
剳,17,81,5
剸,18,80,4
剺,10,88,3
剽,18,80,7
剿,18,80,6
劁,12,86,8
劂,20,78,4
劄,17,81,5
劈,18,80,4
劓,18,80,5
劖,19,79,4
劘,19,79,8
劙,13,85,5
力,10,88,1
劝,9,89,2
办,7,91,2
功,13,85,2
加,14,84,2
务,8,90,2
劢,10,88,2
劣,13,85,5
劦,15,83,2
动,8,90,3
助,16,82,2
努,16,82,3
劫,15,83,2
劬,15,83,3
劭,16,82,3
劮,10,88,1
励,17,81,1
劲,9,89,3
劳,8,90,3
労,14,84,4
劵,16,82,1
劻,17,81,2
劼,16,82,3
劾,16,82,2
势,10,88,2
勃,16,82,3
勄,18,80,2
勇,17,81,1
勈,18,80,3
勉,18,80,2
勋,10,88,4
勍,16,82,5
勐,17,81,3
勒,17,81,2
勔,20,78,2
勖,18,80,5
勗,18,80,3
勘,18,80,1
勚,11,87,5
勞,15,83,8
募,18,80,1
勤,18,80,3
勧,19,79,1
勯,12,86,6
勰,20,78,6
勷,20,78,3
勹,7,91,1
勺,9,89,2
勾,12,86,2
勿,12,86,1
匀,11,87,3
匁,13,85,1
包,13,85,2
匆,14,84,1
匈,15,83,2
匉,8,90,4
匊,16,82,3
匋,16,82,2
匍,17,81,1
匏,17,81,3
匐,17,81,3
匑,17,81,1
匔,11,87,4
匕,9,89,1
化,11,87,2
北,12,86,2
匘,18,80,5
匙,17,81,3
匚,9,89,1
匜,18,80,2
匝,15,83,2
匞,15,83,2
匠,16,82,2
匡,16,82,2
匣,17,81,2
匦,12,86,3
匧,18,80,4
匪,17,81,3
匮,11,87,5
匴,11,87,3
匵,20,78,4
匶,12,86,4
匸,9,89,1
匹,14,84,1
区,15,83,2
医,17,81,2
匽,20,78,2
匾,20,78,2
匿,19,79,3
十,7,91,1
卂,11,87,2
千,9,89,1
卄,6,92,1
卅,14,84,1
卆,12,86,2
升,11,87,1
午,10,88,1
卉,13,85,2
半,11,87,3
卋,14,84,2
卌,17,81,1
卍,13,85,1
华,8,90,3
协,9,89,4
卐,6,92,1
卑,14,84,1
卒,12,86,4
卓,14,84,1
单,8,90,2
卖,8,90,4
南,17,81,1
単,15,83,3
博,17,81,2
卛,16,82,12
卜,5,93,1
卝,5,93,2
卞,9,89,2
卟,7,91,2
占,11,87,1
卡,9,89,2
卢,5,93,1
卣,15,83,1
卤,9,89,2
卦,14,84,3
卧,14,84,2
卨,9,89,2
卪,6,92,2
卫,5,93,1
卬,12,86,2
卮,14,84,2
卯,14,84,2
印,12,86,2
危,15,83,2
卲,17,81,2
即,16,82,2
却,16,82,2
卵,17,81,4
卷,16,82,2
卸,16,82,2
卺,16,82,4
卼,11,87,3
卽,16,82,3
卿,19,79,3
厂,6,92,1
厄,13,85,2
厅,6,92,2
历,8,90,2
厉,8,90,2
压,7,91,3
厌,8,90,3
厍,8,90,2
厎,17,81,3
厐,10,88,3
厓,16,82,1
厔,17,81,2
厕,11,87,6
厖,18,80,5
厗,8,90,5
厘,18,80,2
厚,17,81,3
厜,10,88,2
厝,17,81,3
厞,9,89,3
原,16,82,3
厢,11,87,3
厣,10,88,2
厥,20,78,3
厦,20,78,2
厨,17,81,7
厩,19,79,3
厪,19,79,2
厮,19,79,4
厰,20,78,3
厳,19,79,3
厶,8,90,1
厷,11,87,2
厹,7,91,2
厺,13,85,2
去,13,85,1
厼,7,91,4
厾,8,90,2
县,8,90,1
叁,8,90,4
参,15,83,4
叄,8,90,6
叆,10,88,8
叇,11,87,7
又,11,87,1
叉,12,86,2
及,13,85,1
友,13,85,1
双,14,84,2
反,13,85,1
収,14,84,2
发,9,89,2
叒,15,83,3
叔,15,83,4
叕,17,81,4
取,16,82,2
受,15,83,5
变,9,89,3
叙,16,82,4
叛,18,80,4
叟,16,82,4
叠,20,78,5
口,10,88,1
古,12,86,1
句,13,85,2
另,13,85,1
叨,15,83,2
叩,12,86,2
只,10,88,3
叫,13,85,2
召,13,85,2
叭,13,85,3
叮,12,86,2
可,12,86,2
台,11,87,2
叱,12,86,2
史,13,85,1
右,12,86,1
叵,13,85,2
叶,11,87,2
号,13,85,2
司,13,85,3
叹,8,90,2
叻,9,89,2
叼,8,90,3
叽,9,89,2
吁,13,85,2
吃,14,84,2
各,14,84,1
吅,10,88,2
吆,9,89,2
合,12,86,2
吉,13,85,2
吊,12,86,1
吋,12,86,3
同,15,83,3
名,13,85,1
后,14,84,2
吏,14,84,1
吐,12,86,2
向,13,85,2
吒,13,85,2
吓,13,85,3
吔,10,88,2
吕,6,92,2
吖,7,91,4
吗,8,90,3
君,16,82,1
吜,10,88,2
吝,14,84,2
吞,15,83,1
吟,12,86,2
吠,14,84,2
吡,15,83,3
吣,8,90,5
吥,9,89,3
否,14,84,3
吧,15,83,2
吨,15,83,2
吩,15,83,2
吪,15,83,3
含,14,84,2
听,15,83,2
吭,15,83,3
吮,15,83,4
启,16,82,2
吰,9,89,3
吱,15,83,2
吲,10,88,3
吴,16,82,2
吵,14,84,5
吸,17,81,2
吹,14,84,1
吻,16,82,1
吼,15,83,3
吽,14,84,2
吾,15,83,2
呀,15,83,2
呃,16,82,3
呆,14,84,1
呇,14,84,3
呈,15,83,2
呉,15,83,4
告,14,84,2
呋,9,89,2
呎,15,83,2
呏,14,84,2
呐,10,88,2
呒,9,89,2
呓,9,89,2
呔,9,89,2
呕,16,82,3
呖,11,87,3
呗,10,88,4
员,8,90,4
呙,9,89,1
呛,9,89,3
